DATE,TLAACBW027SBOG
2009-01-07,12281.1568
2009-01-14,12287.0737
2009-01-21,12279.2615
2009-01-28,12151.2569
2009-02-04,12052.9798
2009-02-11,12010.6921
2009-02-18,12056.0493
2009-02-25,12005.625
2009-03-04,11986.5797
2009-03-11,12011.8149
2009-03-18,12055.8491
2009-03-25,12077.0425
2009-04-01,12069.0151
2009-04-08,12001.6309
2009-04-15,12043.4298
2009-04-22,12051.0244
2009-04-29,12071.6234
2009-05-06,12115.6313
2009-05-13,12102.3226
2009-05-20,12118.6707
2009-05-27,12042.5262
2009-06-03,12021.5323
2009-06-10,12031.418
2009-06-17,11961.279
2009-06-24,11944.4078
2009-07-01,11893.0294
2009-07-08,11908.5276
2009-07-15,11808.6988
2009-07-22,11790.5232
2009-07-29,11718.2715
2009-08-05,11686.1146
2009-08-12,11724.8386
2009-08-19,11757.9097
2009-08-26,11743.5218
2009-09-02,11712.1531
2009-09-09,11717.0087
2009-09-16,11706.7473
2009-09-23,11738.8477
2009-09-30,11585.577
2009-10-07,11692.8724
2009-10-14,11751.2037
2009-10-21,11791.9499
2009-10-28,11750.1396
2009-11-04,11768.1685
2009-11-11,11711.7363
2009-11-18,11738.6564
2009-11-25,11773.244
2009-12-02,11761.8471
2009-12-09,11746.2421
2009-12-16,11741.293
2009-12-23,11732.921
2009-12-30,11694.1101
2010-01-06,11664.3499
2010-01-13,11722.6641
2010-01-20,11671.0309
2010-01-27,11696.8821
2010-02-03,11676.9867
2010-02-10,11717.1251
2010-02-17,11711.3532
2010-02-24,11704.7235
2010-03-03,11672.3354
2010-03-10,11656.9997
2010-03-17,11581.5238
2010-03-24,11563.5845
2010-03-31,11814.2363
2010-04-07,11882.9486
2010-04-14,11840.5316
2010-04-21,11822.603
2010-04-28,11830.505
2010-05-05,11816.4005
2010-05-12,11824.1281
2010-05-19,11829.1123
2010-05-26,11780.5757
2010-06-02,11698.8034
2010-06-09,11759.6377
2010-06-16,11697.4698
2010-06-23,11767.9377
2010-06-30,11677.271
2010-07-07,11752.5567
2010-07-14,11762.1199
2010-07-21,11804.632
2010-07-28,11808.0503
2010-08-04,11841.0024
2010-08-11,11855.1813
2010-08-18,11829.3141
2010-08-25,11842.1147
2010-09-01,11816.6323
2010-09-08,11832.8189
2010-09-15,11753.2181
2010-09-22,11769.4584
2010-09-29,11778.4385
2010-10-06,11868.5375
2010-10-13,11902.3411
2010-10-20,11915.277
2010-10-27,11878.0444
2010-11-03,11869.4591
2010-11-10,11836.5843
2010-11-17,11814.698
2010-11-24,11837.562
2010-12-01,11827.9662
2010-12-08,11871.848
2010-12-15,11775.1712
2010-12-22,11815.5611
2010-12-29,11805.5997
2011-01-05,11808.6783
2011-01-12,11873.6768
2011-01-19,11852.5266
2011-01-26,11830.3008
2011-02-02,11807.025
2011-02-09,11881.8986
2011-02-16,11856.4
2011-02-23,11934.5109
2011-03-02,11931.3553
2011-03-09,12034.8996
2011-03-16,11975.2294
2011-03-23,12042.577
2011-03-30,12133.6415
2011-04-06,12201.0078
2011-04-13,12210.7364
2011-04-20,12194.195
2011-04-27,12181.7797
2011-05-04,12215.8425
2011-05-11,12234.7703
2011-05-18,12183.1922
2011-05-25,12242.2234
2011-06-01,12275.5081
2011-06-08,12327.6099
2011-06-15,12241.4463
2011-06-22,12337.7771
2011-06-29,12341.7726
2011-07-06,12299.2775
2011-07-13,12315.7073
2011-07-20,12300.5406
2011-07-27,12340.5334
2011-08-03,12384.8558
2011-08-10,12444.339
2011-08-17,12437.7853
2011-08-24,12403.7361
2011-08-31,12393.8958
2011-09-07,12391.1974
2011-09-14,12454.4652
2011-09-21,12441.2894
2011-09-28,12489.5441
2011-10-05,12530.2215
2011-10-12,12476.194
2011-10-19,12475.6574
2011-10-26,12489.9256
2011-11-02,12449.1289
2011-11-09,12498.7431
2011-11-16,12484.133
2011-11-23,12445.1522
2011-11-30,12454.5443
2011-12-07,12483.0954
2011-12-14,12557.9035
2011-12-21,12510.914
2011-12-28,12598.2667
2012-01-04,12625.7502
2012-01-11,12582.1802
2012-01-18,12534.4404
2012-01-25,12575.8792
2012-02-01,12687.6058
2012-02-08,12687.0568
2012-02-15,12736.2033
2012-02-22,12651.5095
2012-02-29,12696.6256
2012-03-07,12658.6189
2012-03-14,12622.9494
2012-03-21,12599.5262
2012-03-28,12629.2264
2012-04-04,12681.2833
2012-04-11,12694.7292
2012-04-18,12659.6511
2012-04-25,12690.4796
2012-05-02,12703.7758
2012-05-09,12715.2221
2012-05-16,12701.1329
2012-05-23,12716.5927
2012-05-30,12725.1539
2012-06-06,12751.0376
2012-06-13,12780.1691
2012-06-20,12703.5199
2012-06-27,12742.7281
2012-07-04,12767.0818
2012-07-11,12773.0768
2012-07-18,12780.2576
2012-07-25,12840.6046
2012-08-01,12835.6883
2012-08-08,12844.0187
2012-08-15,12828.0266
2012-08-22,12800.4946
2012-08-29,12837.1929
2012-09-05,12863.4944
2012-09-12,12834.0439
2012-09-19,12805.5635
2012-09-26,12844.5749
2012-10-03,12875.3409
2012-10-10,12839.1391
2012-10-17,12888.9557
2012-10-24,12802.8319
2012-10-31,12913.8809
2012-11-07,12941.4499
2012-11-14,12986.9313
2012-11-21,12968.5523
2012-11-28,13026.666
2012-12-05,13036.6373
2012-12-12,13055.7825
2012-12-19,13098.7898
2012-12-26,13196.7144
2013-01-02,13237.4499
2013-01-09,13153.364
2013-01-16,13177.0055
2013-01-23,13193.0335
2013-01-30,13279.6607
2013-02-06,13266.93
2013-02-13,13265.0219
2013-02-20,13196.4311
2013-02-27,13275.6479
2013-03-06,13271.0853
2013-03-13,13316.1824
2013-03-20,13286.6954
2013-03-27,13366.9474
2013-04-03,13396.6512
2013-04-10,13369.2482
2013-04-17,13403.895
2013-04-24,13331.8881
2013-05-01,13441.4211
2013-05-08,13414.8529
2013-05-15,13474.1348
2013-05-22,13484.3491
2013-05-29,13509.7594
2013-06-05,13519.3952
2013-06-12,13561.5586
2013-06-19,13500.4171
2013-06-26,13554.9066
2013-07-03,13559.2644
2013-07-10,13539.7032
2013-07-17,13610.5853
2013-07-24,13567.1139
2013-07-31,13592.1033
2013-08-07,13614.0919
2013-08-14,13640.3183
2013-08-21,13627.9462
2013-08-28,13696.3817
2013-09-04,13681.0164
2013-09-11,13703.1259
2013-09-18,13798.2843
2013-09-25,13804.8367
2013-10-02,13911.3769
2013-10-09,13822.1276
2013-10-16,13869.4079
2013-10-23,13905.9997
2013-10-30,13955.4471
2013-11-06,13895.1282
2013-11-13,13938.2731
2013-11-20,13937.2881
2013-11-27,14018.718
2013-12-04,14045.2075
2013-12-11,14080.7218
2013-12-18,14101.7564
2013-12-25,14120.4555
2014-01-01,13945.0348
2014-01-08,14099.0607
2014-01-15,14119.9799
2014-01-22,14120.5222
2014-01-29,14174.5255
2014-02-05,14184.6127
2014-02-12,14212.5471
2014-02-19,14238.9635
2014-02-26,14231.9927
2014-03-05,14316.1959
2014-03-12,14327.4208
2014-03-19,14355.3207
2014-03-26,14350.0576
2014-04-02,14374.629
2014-04-09,14398.3738
2014-04-16,14432.9366
2014-04-23,14436.7814
2014-04-30,14437.4773
2014-05-07,14464.0955
2014-05-14,14498.9275
2014-05-21,14533.5592
2014-05-28,14580.3581
2014-06-04,14588.3861
2014-06-11,14625.7047
2014-06-18,14658.7828
2014-06-25,14733.1274
2014-07-02,14749.7027
2014-07-09,14738.1694
2014-07-16,14756.6239
2014-07-23,14803.5672
2014-07-30,14820.785
2014-08-06,14816.1496
2014-08-13,14781.0582
2014-08-20,14804.067
2014-08-27,14804.0353
2014-09-03,14912.398
2014-09-10,14865.0576
2014-09-17,14950.8641
2014-09-24,14972.5988
2014-10-01,14997.3469
2014-10-08,14936.1308
2014-10-15,15011.3861
2014-10-22,15024.0117
2014-10-29,15023.4193
2014-11-05,14987.6939
2014-11-12,15010.5489
2014-11-19,14986.4112
2014-11-26,15104.2506
2014-12-03,15098.7109
2014-12-10,15103.5707
2014-12-17,15127.7868
2014-12-24,15078.5344
2014-12-31,14934.3122
2015-01-07,15200.7392
2015-01-14,15206.6754
2015-01-21,15226.5826
2015-01-28,15211.8989
2015-02-04,15217.4875
2015-02-11,15188.3604
2015-02-18,15219.3705
2015-02-25,15268.1307
2015-03-04,15283.7641
2015-03-11,15332.9608
2015-03-18,15366.4972
2015-03-25,15372.7929
2015-04-01,15362.3755
2015-04-08,15393.7008
2015-04-15,15387.192
2015-04-22,15382.7663
2015-04-29,15400.655
2015-05-06,15388.8588
2015-05-13,15380.784
2015-05-20,15348.8824
2015-05-27,15338.7939
2015-06-03,15322.1878
2015-06-10,15316.4067
2015-06-17,15365.4965
2015-06-24,15329.352
2015-07-01,15312.0294
2015-07-08,15324.1115
2015-07-15,15388.7587
2015-07-22,15416.3941
2015-07-29,15370.2774
2015-08-05,15376.9735
2015-08-12,15358.5671
2015-08-19,15445.0664
2015-08-26,15499.525
2015-09-02,15455.5897
2015-09-09,15451.3059
2015-09-16,15418.3952
2015-09-23,15516.2003
2015-09-30,15244.7827
2015-10-07,15575.1392
2015-10-14,15634.222
2015-10-21,15648.3349
2015-10-28,15612.519
2015-11-04,15645.421
2015-11-11,15592.7302
2015-11-18,15570.782
2015-11-25,15550.7858
2015-12-02,15601.8857
2015-12-09,15588.3884
2015-12-16,15585.7234
2015-12-23,15619.4361
2015-12-30,15501.6565
2016-01-06,15624.5469
2016-01-13,15631.3194
2016-01-20,15681.6246
2016-01-27,15633.0241
2016-02-03,15710.779
2016-02-10,15713.3618
2016-02-17,15712.6731
2016-02-24,15707.0179
2016-03-02,15719.5525
2016-03-09,15757.4834
2016-03-16,15713.3688
2016-03-23,15734.9762
2016-03-30,15704.846
2016-04-06,15803.2636
2016-04-13,15854.0377
2016-04-20,15853.46
2016-04-27,15872.9567
2016-05-04,15925.2044
2016-05-11,15913.1452
2016-05-18,15901.1284
2016-05-25,15900.7454
2016-06-01,15919.4679
2016-06-08,15936.1181
2016-06-15,15959.6117
2016-06-22,15959.7208
2016-06-29,15948.7272
2016-07-06,16053.1355
2016-07-13,16022.7973
2016-07-20,15997.2134
2016-07-27,16031.044
2016-08-03,16077.0643
2016-08-10,16056.3841
2016-08-17,16067.0595
2016-08-24,16036.6765
2016-08-31,16042.2934
2016-09-07,16090.4276
2016-09-14,16155.8533
2016-09-21,16046.9841
2016-09-28,16027.9997
2016-10-05,15990.8555
2016-10-12,16047.382
2016-10-19,16036.0051
2016-10-26,16022.8069
2016-11-02,16044.7545
2016-11-09,16026.0884
2016-11-16,16036.4404
2016-11-23,16002.9749
2016-11-30,15991.0858
2016-12-07,16049.981
2016-12-14,16074.3304
2016-12-21,15976.1979
2016-12-28,15995.1575
2017-01-04,16067.8495
2017-01-11,16013.487
2017-01-18,16073.2814
2017-01-25,16053.7688
2017-02-01,16110.039
2017-02-08,16119.3698
2017-02-15,16118.2609
2017-02-22,16138.4702
2017-03-01,16188.762
2017-03-08,16180.6834
2017-03-15,16216.8472
2017-03-22,16185.0815
2017-03-29,16153.395
2017-04-05,16218.8989
2017-04-12,16210.0105
2017-04-19,16244.072
2017-04-26,16231.7584
2017-05-03,16219.6627
2017-05-10,16197.8133
2017-05-17,16265.2976
2017-05-24,16276.6604
2017-05-31,16224.9902
2017-06-07,16254.2602
2017-06-14,16220.5577
2017-06-21,16241.7021
2017-06-28,16230.0969
2017-07-05,16266.6033
2017-07-12,16311.4458
2017-07-19,16348.4459
2017-07-26,16413.6554
2017-08-02,16427.256
2017-08-09,16427.5039
2017-08-16,16482.5975
2017-08-23,16463.6212
2017-08-30,16507.3243
2017-09-06,16505.1501
2017-09-13,16532.138
2017-09-20,16528.3994
2017-09-27,16527.5118
2017-10-04,16570.3171
2017-10-11,16543.0496
2017-10-18,16612.9103
2017-10-25,16603.9714
2017-11-01,16635.9242
2017-11-08,16641.9637
2017-11-15,16658.0867
2017-11-22,16659.0705
2017-11-29,16671.0134
2017-12-06,16727.9326
2017-12-13,16719.9272
2017-12-20,16704.2738
2017-12-27,16736.0835
2018-01-03,16733.3222
2018-01-10,16670.5983
2018-01-17,16706.6246
2018-01-24,16702.9543
2018-01-31,16665.0074
2018-02-07,16638.0306
2018-02-14,16686.4047
2018-02-21,16635.6274
2018-02-28,16646.8381
2018-03-07,16611.6306
2018-03-14,16599.2952
2018-03-21,16553.6553
2018-03-28,16566.6557
2018-04-04,16577.5071
2018-04-11,16572.821
2018-04-18,16624.7768
2018-04-25,16626.6239
2018-05-02,16662.491
2018-05-09,16695.6462
2018-05-16,16667.6216
2018-05-23,16712.5038
2018-05-30,16724.295
2018-06-06,16699.1911
2018-06-13,16719.2276
2018-06-20,16717.9445
2018-06-27,16764.471
2018-07-04,16782.6313
2018-07-11,16738.7461
2018-07-18,16745.2951
2018-07-25,16740.3334
2018-08-01,16714.2923
2018-08-08,16685.5254
2018-08-15,16716.2627
2018-08-22,16712.1032
2018-08-29,16689.2612
2018-09-05,16697.9077
2018-09-12,16700.241
2018-09-19,16702.7514
2018-09-26,16750.0571
2018-10-03,16814.0603
2018-10-10,16792.5079
2018-10-17,16778.8306
2018-10-24,16829.519
2018-10-31,16817.6557
2018-11-07,16781.1234
2018-11-14,16826.0348
2018-11-21,16802.0703
2018-11-28,16822.6576
2018-12-05,16879.9854
2018-12-12,16888.3953
2018-12-19,16885.0588
2018-12-26,17010.0862
2019-01-02,17029.1462
2019-01-09,16968.5695
2019-01-16,16928.132
2019-01-23,16942.0266
2019-01-30,16980.5313
2019-02-06,17005.647
2019-02-13,17032.5441
2019-02-20,17006.7511
2019-02-27,17045.1664
2019-03-06,17048.4698
2019-03-13,17054.0075
2019-03-20,17085.3134
2019-03-27,17135.0359
2019-04-03,17137.9292
2019-04-10,17100.6413
2019-04-17,17080.3651
2019-04-24,17106.7884
2019-05-01,17119.8742
2019-05-08,17160.3818
2019-05-15,17230.8649
2019-05-22,17145.6534
2019-05-29,17165.1103
2019-06-05,17248.4451
2019-06-12,17304.1714
2019-06-19,17290.1944
2019-06-26,17340.3471
2019-07-03,17372.5531
2019-07-10,17329.3065
2019-07-17,17335.1089
2019-07-24,17340.618
2019-07-31,17352.7184
2019-08-07,17490.1435
2019-08-14,17457.1788
2019-08-21,17427.7488
2019-08-28,17461.572
2019-09-04,17472.2082
2019-09-11,17451.1204
2019-09-18,17428.3792
2019-09-25,17506.6542
2019-10-02,17581.1793
2019-10-09,17568.6125
2019-10-16,17581.7762
2019-10-23,17566.9311
2019-10-30,17546.0484
2019-11-06,17606.9475
2019-11-13,17624.5755
2019-11-20,17585.4288
2019-11-27,17640.438
2019-12-04,17669.2374
2019-12-11,17747.9293
2019-12-18,17732.4896
2019-12-25,17728.7579
2020-01-01,17673.586
2020-01-08,17753.7123
2020-01-15,17781.2831
2020-01-22,17749.6362
2020-01-29,17802.4542
2020-02-05,17820.7227
2020-02-12,17796.3015
2020-02-19,17902.8747
2020-02-26,17890.2321
