Date,MBS Total PAR Value,MBS Weighted Average,Treasury Total PAR Value,Treasury Weighted Average
12/12/2022,42270000000,  3.877,33918000000,  3.819 
12/13/2022,38446000000,  3.872,40400000000,  3.815 
12/14/2022,44080000000,  3.878,26400000000,  3.814 
12/15/2022,53850000000,  4.403,33200000000,  4.345 
12/16/2022,50050000000,  4.382,45300000000,  4.365 
12/19/2022,42450000000,  4.378,40500000000,  4.324 
12/20/2022,28500000000,  4.358,25000000000,  4.309 
12/21/2022,33150000000,  4.349,24050000000,  4.300 
12/22/2022,33410000000,  4.340,29250000000,  4.309 
12/23/2022,25900000000,  4.336,24100000000,  4.307 
12/27/2022,55100000000,  4.354,55550000000,  4.310 
12/28/2022,43600000000,  4.360,33650000000,  4.305 
12/29/2022,40550000000,  4.353,29000000000,  4.308 
12/30/2022,24584000000,  4.332,38200000000,  4.279 
01/03/2023,60400000000,  4.369,110328000000,  4.317 
01/04/2023,49024000000,  4.370,68978000000,  4.313 
01/05/2023,53800000000,  4.367,77778000000,  4.318 
01/06/2023,55000000000,  4.360,65200000000,  4.316 
01/09/2023,51300000000,  4.361,70530000000,  4.316 
01/10/2023,56160000000,  4.363,58520000000,  4.317 
01/11/2023,40750000000,  4.363,69780000000,  4.318 
01/12/2023,47660000000,  4.359,64750000000,  4.318 
01/13/2023,50050000000,  4.360,51890000000,  4.306 
01/17/2023,42150000000,  4.398,37788000000,  4.324 
01/18/2023,53120000000,  4.376,39078000000,  4.310 
01/19/2023,51700000000,  4.371,39800000000,  4.321 
01/20/2023,40400000000,  4.368,52900000000,  4.304 
01/23/2023,43100000000,  4.372,43180000000,  4.300 
01/24/2023,67100000000,  4.397,46750000000,  4.320 
01/25/2023,46050000000,  4.392,42280000000,  4.323 
01/26/2023,54700000000,  4.394,36100000000,  4.322 
01/27/2023,57650000000,  4.392,34978000000,  4.321 
01/30/2023,43500000000,  4.390,40478000000,  4.320 
01/31/2023,56672000000,  4.404,27508000000,  4.347 
02/01/2023,62900000000,  4.401,29400000000,  4.336 
02/02/2023,55500000000,  4.644,41450000000,  4.593 
02/03/2023,39500000000,  4.639,20700000000,  4.593 
02/06/2023,28700000000,  4.635,24724000000,  4.572 
02/07/2023,45410000000,  4.628,24410000000,  4.589 
02/08/2023,43650000000,  4.630,26600000000,  4.588 
02/09/2023,43800000000,  4.635,29080000000,  4.597 
02/10/2023,44100000000,  4.634,25200000000,  4.580 
02/13/2023,44950000000,  4.630,30220000000,  4.580 
02/14/2023,45950000000,  4.632,22550000000,  4.582 
02/15/2023,44750000000,  4.633,23620000000,  4.590 
02/16/2023,46750000000,  4.617,14300000000,  4.591 
02/17/2023,33800000000,  4.588,22700000000,  4.560 
02/21/2023,38220000000,  4.583,29300000000,  4.558 
02/22/2023,17640000000,  4.569,22650000000,  4.552 
02/23/2023,26850000000,  4.570,25250000000,  4.561 
02/24/2023,22750000000,  4.564,28450000000,  4.560 
02/27/2023,32650000000,  4.572,54550000000,  4.546 
02/28/2023,43008000000,  4.606,34500000000,  4.577 
03/01/2023,43820000000,  4.595,31650000000,  4.563 
03/02/2023,31520000000,  4.578,32850000000,  4.577 
03/03/2023,34750000000,  4.571,28650000000,  4.568 
03/06/2023,44900000000,  4.573,22250000000,  4.561 
03/07/2023,45270000000,  4.578,20550000000,  4.568 
03/08/2023,38900000000,  4.580,26900000000,  4.566 
03/09/2023,36550000000,  4.579,16050000000,  4.586 
03/10/2023,34550000000,  4.582,22100000000,  4.574 
03/13/2023,49900000000,  4.631,18320000000,  4.569 
03/14/2023,45600000000,  4.646,28992000000,  4.609 
03/15/2023,45320000000,  4.665,17692000000,  4.595 
03/16/2023,57150000000,  4.647,24236000000,  4.613 
03/17/2023,59550000000,  4.631,31644000000,  4.587 
03/20/2023,63700000000,  4.624,32900000000,  4.585 
03/21/2023,63070000000,  4.629,23400000000,  4.588 
03/22/2023,82750000000,  4.648,24150000000,  4.588 
03/23/2023,113850000000,  4.926,30500000000,  4.846 
03/24/2023,77300000000,  4.945,16000000000,  4.859 
03/27/2023,84350000000,  4.960,12300000000,  4.890 
03/28/2023,88800000000,  4.939,22150000000,  4.872 
03/29/2023,46350000000,  4.909,22850000000,  4.846 
03/30/2023,62550000000,  4.926,16300000000,  4.884 
03/31/2023,34490000000,  4.945,16280000000,  4.916 
04/03/2023,43400000000,  4.921,27936000000,  4.908 
04/04/2023,52370000000,  4.920,22700000000,  4.887 
04/05/2023,72200000000,  4.913,25600000000,  4.868 
04/06/2023,61650000000,  4.903,27560000000,  4.856 
04/10/2023,65450000000,  4.895,17000000000,  4.827 
04/11/2023,74750000000,  4.897,11960000000,  4.846 
04/12/2023,48500000000,  4.879,8500000000,  4.822 
04/13/2023,46450000000,  4.848,13150000000,  4.855 
04/14/2023,38070000000,  4.856,15850000000,  4.850 
04/17/2023,38450000000,  4.865,17950000000,  4.849 
04/18/2023,41932000000,  4.848,17300000000,  4.838 
04/19/2023,34970000000,  4.829,15400000000,  4.806 
04/20/2023,32950000000,  4.830,10400000000,  4.825 
04/21/2023,33366000000,  4.830,14630000000,  4.819 
04/24/2023,22000000000,  4.838,22800000000,  4.824 
04/25/2023,38000000000,  4.860,12750000000,  4.850 
04/26/2023,36700000000,  4.854,22450000000,  4.831 
04/27/2023,30350000000,  4.860,14250000000,  4.823 
04/28/2023,55850000000,  4.880,22250000000,  4.836 
05/01/2023,49550000000,  4.881,12950000000,  4.869 
05/02/2023,43200000000,  4.892,17650000000,  4.877 
05/03/2023,41600000000,  4.895,27436000000,  4.873 
05/04/2023,43300000000,  5.147,15800000000,  5.118 
05/05/2023,46750000000,  5.146,22100000000,  5.128 
